student_id,attendance,previous_performance,internal_marks,assignment_score,engagement,study_hours,target
SYN1435,69.53,64.98,77.71,51.55,58.06,5.6,0
SYN1436,70.53,80.78,29.61,70.2,69.98,3.2,1
SYN1437,63.02,56.08,73.55,67.69,64.15,4.7,0
SYN1438,68.84,77.89,59.17,60.71,81.53,3.9,0
SYN1439,83.99,75.84,60.88,63.63,61.36,8.4,0
SYN1440,75.35,49.72,36.3,85.33,56.98,8.5,1
SYN1441,82.6,80.58,72.4,61.62,79.73,4.6,0
SYN1442,83.07,76.18,22.97,50.02,70.45,4.6,1
SYN1443,96.49,66.63,79.73,85.88,73.17,3.8,0
SYN1444,73.2,52.8,35.19,71.59,48.04,6.7,1
SYN1445,57.32,51.25,55.91,52.84,41.19,3.8,1
SYN1446,92.94,56.4,65.44,41.0,49.78,3.7,0
SYN1447,73.36,73.68,80.49,53.27,48.83,6.5,0
SYN1448,93.6,49.71,64.66,71.22,74.15,3.4,0
SYN1449,83.37,72.0,52.32,90.55,77.57,4.4,0
SYN1450,76.16,45.13,52.98,51.41,57.21,1.3,1
SYN1451,82.88,61.73,85.59,74.25,85.76,5.9,0
SYN1452,100.0,66.75,79.06,85.31,84.63,8.4,0
SYN1453,100.0,100.0,63.38,33.39,64.38,5.9,0
SYN1454,78.97,42.96,58.56,78.87,45.21,7.4,1
SYN1455,80.24,88.55,36.38,58.56,88.36,2.8,0
SYN1456,93.07,67.4,74.11,72.44,58.9,5.0,0
SYN1457,66.16,71.58,28.17,72.17,62.27,2.6,1
SYN1458,82.66,66.89,76.65,82.23,53.89,4.0,0
SYN1459,77.64,72.12,64.3,71.25,43.98,6.0,0
SYN1460,82.39,62.54,100.0,24.2,33.56,4.7,0
SYN1461,66.33,88.26,39.45,59.44,71.39,1.7,1
SYN1462,55.75,57.7,52.7,65.63,45.9,1.9,1
SYN1463,48.98,83.12,82.65,76.87,100.0,1.7,0
SYN1464,62.36,54.69,77.01,69.09,40.45,5.5,1
SYN1465,71.58,64.04,48.15,72.84,37.37,8.6,1
SYN1466,73.9,47.85,64.61,79.68,69.18,7.2,0
SYN1467,100.0,72.28,69.97,72.84,87.53,0.7,0
SYN1468,93.48,88.12,72.45,40.44,61.16,7.3,0
SYN1469,64.53,63.76,45.64,64.05,70.3,6.4,1
SYN1470,82.87,61.85,62.42,64.09,26.82,1.4,0
SYN1471,72.3,47.17,33.07,47.77,47.8,3.9,1
SYN1472,74.02,61.33,63.15,71.46,40.67,6.7,0
SYN1473,80.59,39.52,70.8,71.19,25.89,5.6,1
SYN1474,86.67,50.39,61.4,70.33,62.11,1.9,0
SYN1475,73.25,68.63,33.12,20.0,19.63,5.7,1
SYN1476,92.89,86.1,84.26,41.48,36.2,0.5,0
SYN1477,62.01,100.0,62.84,93.18,50.33,4.1,0
SYN1478,78.09,55.61,49.93,55.11,45.04,6.8,1
SYN1479,100.0,87.96,65.17,40.18,67.14,4.5,0
SYN1480,81.12,68.9,37.82,87.97,65.5,3.5,0
SYN1481,98.07,62.58,51.83,72.82,76.09,6.3,0
SYN1482,79.28,71.92,53.55,88.43,73.54,6.4,0
SYN1483,86.13,65.99,85.96,78.1,80.53,7.1,0
SYN1484,77.21,66.77,51.09,74.66,59.97,6.2,0
SYN1485,75.61,58.47,72.28,74.88,65.46,6.7,0
SYN1486,67.09,42.63,49.27,81.02,69.21,6.0,1
SYN1487,84.02,40.3,68.57,100.0,62.55,5.0,0
SYN1488,66.08,75.45,55.67,80.22,52.85,4.7,0
SYN1489,87.32,60.57,80.34,42.29,54.02,4.0,0
SYN1490,93.19,55.46,58.47,70.08,45.28,2.1,0
SYN1491,83.13,65.14,37.3,87.19,67.59,2.6,0
SYN1492,73.99,77.72,37.35,85.33,58.31,3.9,1
SYN1493,84.36,67.89,55.42,57.81,48.06,5.0,0
SYN1494,73.68,54.5,39.5,81.69,48.08,7.4,1
SYN1495,91.1,84.62,73.79,75.18,38.21,4.4,0
SYN1496,52.36,90.27,45.34,100.0,77.62,6.5,1
SYN1497,73.3,72.91,98.59,56.97,61.42,6.7,0
SYN1498,50.13,80.58,22.94,55.52,44.47,4.0,1
SYN1499,57.07,84.87,58.37,67.57,74.55,5.7,0
SYN1500,97.09,83.08,49.74,57.42,49.91,4.0,0
SYN1501,90.53,74.83,58.23,46.85,34.68,7.1,0
SYN1502,67.93,74.57,61.11,31.87,78.38,5.8,0
SYN1503,56.96,73.31,15.34,58.37,50.33,2.1,1
SYN1504,36.5,47.44,51.74,71.13,52.64,4.8,1
SYN1505,70.39,76.21,91.93,60.62,60.74,7.8,0
SYN1506,100.0,43.31,62.23,100.0,80.57,4.1,0
SYN1507,84.09,52.29,68.79,68.1,60.36,5.4,0
SYN1508,70.17,85.86,76.92,80.69,38.42,5.6,0
SYN1509,84.51,78.44,61.73,74.65,69.79,2.4,0
SYN1510,56.15,88.8,44.71,77.57,51.27,5.5,1
SYN1511,73.84,60.65,22.09,82.18,93.98,1.7,1
SYN1512,79.39,46.56,73.63,88.32,59.98,3.2,0
SYN1513,76.79,61.15,59.9,56.56,19.77,6.7,1
SYN1514,89.07,66.63,48.89,77.16,66.43,5.2,0
SYN1515,82.83,66.26,66.08,83.78,95.0,3.9,0
SYN1516,87.36,83.14,55.59,71.98,88.37,5.4,0
SYN1517,68.36,59.22,49.88,83.75,92.96,4.4,0
SYN1518,90.57,70.63,76.95,94.29,41.64,4.5,0
SYN1519,100.0,49.18,47.19,68.66,76.42,5.8,0
SYN1520,64.42,72.21,75.29,70.18,47.0,3.0,0
SYN1521,65.57,65.05,34.13,87.88,64.04,4.6,1
SYN1522,96.7,53.0,57.51,78.02,37.09,3.9,0
SYN1523,75.32,61.23,93.99,64.49,48.4,1.3,0
SYN1524,97.65,62.05,88.29,28.39,47.83,2.7,0
SYN1525,71.8,60.68,61.73,80.39,76.17,7.6,0
SYN1526,98.37,93.34,53.38,38.83,74.41,5.3,0
SYN1527,79.84,63.42,53.88,91.34,64.98,1.9,0
SYN1528,81.62,61.1,64.76,63.04,35.69,1.4,0
SYN1529,99.91,31.44,70.55,81.11,54.39,4.3,0
SYN1530,72.94,50.69,58.93,50.23,46.57,7.6,1
SYN1531,64.82,60.79,57.11,49.2,75.65,4.1,1
SYN1532,71.72,54.03,56.4,78.07,81.21,7.1,0
SYN1533,84.33,87.11,39.94,73.0,79.01,5.2,0
SYN1534,56.08,62.36,45.79,56.35,46.41,5.4,1
SYN1535,86.92,85.62,80.91,54.27,10.69,1.8,0
SYN1536,70.46,65.99,36.34,90.25,28.19,6.4,1
SYN1537,94.07,65.6,64.64,87.99,85.59,3.8,0
SYN1538,44.48,63.58,36.57,81.37,52.78,6.2,1
SYN1539,66.99,65.06,60.28,76.4,46.49,2.9,1
SYN1540,54.39,92.5,47.37,98.85,89.57,4.9,0
SYN1541,66.43,27.89,83.31,71.77,82.77,5.2,0
SYN1542,81.47,32.98,72.06,37.11,60.44,4.2,0
SYN1543,75.49,56.31,39.06,63.38,54.72,5.3,1
SYN1544,74.45,65.23,72.41,79.26,57.62,4.0,0
SYN1545,75.77,76.04,48.29,54.47,64.09,3.2,0
SYN1546,80.85,72.57,53.43,73.78,88.8,7.7,0
SYN1547,63.88,58.85,62.63,59.69,67.6,6.6,1
SYN1548,87.9,81.3,57.34,94.24,73.07,3.0,0
SYN1549,87.28,81.48,80.67,85.35,81.05,5.6,0
SYN1550,83.39,67.94,50.96,71.25,38.95,3.0,0
SYN1551,85.79,80.4,54.45,81.19,73.59,2.1,0
SYN1552,82.15,69.36,52.53,65.64,54.7,6.6,0
SYN1553,100.0,56.02,60.32,57.17,14.71,1.1,0
SYN1554,76.78,76.17,80.5,38.52,21.69,6.4,0
SYN1555,73.7,66.77,71.42,29.49,41.67,4.0,0
SYN1556,67.45,65.02,87.62,72.91,69.56,4.1,0
SYN1557,63.55,88.57,95.18,73.27,62.05,5.3,0
SYN1558,60.58,25.79,38.62,86.93,63.32,5.7,1
SYN1559,65.56,42.32,59.08,100.0,95.12,2.8,0
SYN1560,77.01,46.01,41.89,84.49,37.16,5.9,1
SYN1561,82.68,59.19,50.66,52.68,59.51,4.7,0
SYN1562,78.72,60.93,51.78,64.16,65.48,2.0,0
SYN1563,67.28,40.88,40.52,71.03,46.75,4.2,1
SYN1564,90.6,49.24,48.77,99.95,60.51,7.3,0
SYN1565,88.35,51.23,63.41,81.35,31.2,7.9,0
SYN1566,75.76,100.0,40.77,92.2,85.38,5.9,0
SYN1567,68.86,93.83,73.36,58.29,47.73,2.1,0
SYN1568,85.68,58.41,49.33,65.51,96.57,5.5,0
SYN1569,80.63,59.18,100.0,79.45,59.42,6.2,0
SYN1570,57.73,46.61,47.47,56.83,78.5,6.0,1
SYN1571,77.05,34.47,63.13,63.93,59.04,6.1,1
SYN1572,81.67,63.13,41.5,65.91,59.45,5.2,0
SYN1573,65.4,49.03,86.83,88.53,49.49,4.4,0
SYN1574,80.66,63.64,82.2,63.12,62.14,3.3,0
SYN1575,57.63,39.4,60.16,32.92,65.72,0.7,1
SYN1576,96.71,52.81,45.89,71.13,45.88,5.2,0
SYN1577,95.47,67.38,71.93,56.63,57.75,4.9,0
SYN1578,74.46,70.86,41.94,65.14,49.02,5.6,1
SYN1579,83.09,71.68,88.88,78.49,100.0,1.8,0
SYN1580,44.26,43.87,64.19,63.2,58.38,5.8,1
SYN1581,61.81,78.67,58.19,88.0,87.81,8.6,0
SYN1582,73.89,52.2,19.38,43.75,56.48,4.7,1
SYN1583,62.99,75.13,40.27,61.43,64.67,4.4,1
SYN1584,88.0,64.83,77.43,70.92,36.22,5.1,0
SYN1585,100.0,42.98,90.56,56.17,51.95,8.6,0
SYN1586,61.53,59.94,75.33,44.8,63.79,2.5,0
SYN1587,66.28,70.85,31.08,86.39,88.55,4.9,1
SYN1588,81.3,74.81,68.52,85.84,64.0,2.9,0
SYN1589,100.0,62.74,87.2,74.6,84.91,3.4,0
SYN1590,60.89,89.51,28.06,41.84,71.53,4.4,1
SYN1591,81.49,81.12,63.33,87.17,89.29,7.2,0
SYN1592,100.0,60.89,74.6,42.58,58.94,8.1,0
SYN1593,54.88,77.0,49.04,84.42,100.0,5.4,0
SYN1594,60.07,95.94,24.47,51.86,51.26,3.7,1
SYN1595,72.07,96.37,54.62,46.25,46.2,9.5,0
SYN1596,70.71,45.35,54.13,54.63,38.22,3.6,1
SYN1597,89.38,50.18,63.7,77.04,100.0,3.4,0
SYN1598,81.38,88.76,53.84,62.56,74.75,1.0,0
SYN1599,53.15,48.07,46.01,74.82,53.99,7.3,1
